Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","Hudson","NY","12534","COLUMBIA","0.849601","2 out of 10","2 out of 9","2 out of 10","0.896866","8 out of 10","8 out of 9","8 out of 10","0.823887","0 out of 10","0 out of 9","0 out of 10","0.725711","0 out of 10","2 out of 9","2 out of 10","0.877","0 out of 10","Not Available","0 out of 10","1.365","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.629","1 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","Wellsville","NY","14895","ALLEGANY","0.851680","Not Available","Not Available","Not Available","0.882702","1 out of 10","3 out of 9","3 out of 10","0.880689","0 out of 10","2 out of 9","2 out of 10","0.603105","1 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","New York","NY","10021","NEW YORK","0.883780","10 out of 10","9 out of 9","10 out of 10","0.910821","10 out of 10","9 out of 9","10 out of 10","0.908630","10 out of 10","0 out of 9","10 out of 10","0.417834","10 out of 10","9 out of 9","10 out of 10","0.444","1 out of 10","2 out of 9","2 out of 10","1.153","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1.045","0 out of 10","0 out of 9","0 out of 10","0.816","0 out of 10","3 out of 9","3 out of 10"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","Kenmore","NY","14217","ERIE","0.855046","5 out of 10","6 out of 9","6 out of 10","0.862779","0 out of 10","0 out of 9","0 out of 10","0.901625","8 out of 10","Not Available","8 out of 10","0.456475","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.355","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1.503","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","Olean","NY","14760","CATTARAUGUS","0.850689","2 out of 10","4 out of 9","4 out of 10","0.890041","5 out of 10","2 out of 9","5 out of 10","0.887055","2 out of 10","1 out of 9","2 out of 10","0.586923","2 out of 10","0 out of 9","2 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.913","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.692","0 out of 10","6 out of 9","6 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"330104","NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","Nyack","NY","10960","ROCKLAND","0.879777","10 out of 10","9 out of 9","10 out of 10","0.882274","1 out of 10","0 out of 9","1 out of 10","0.897518","7 out of 10","8 out of 9","8 out of 10","0.374478","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.866","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.900","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","Westbury","NY","11590","NASSAU","0.871895","10 out of 10","9 out of 9","10 out of 10","0.887699","3 out of 10","5 out of 9","5 out of 10","0.901989","9 out of 10","0 out of 9","9 out of 10","0.635444","0 out of 10","4 out of 9","4 out of 10","0.195","6 out of 10","6 out of 9","6 out of 10","1.376","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.844","0 out of 10","0 out of 9","0 out of 10","1.840","0 out of 10","0 out of 9","0 out of 10"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.865327","10 out of 10","9 out of 9","10 out of 10","0.875165","0 out of 10","0 out of 9","0 out of 10","0.873289","0 out of 10","0 out of 9","0 out of 10","0.740747","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"330108","ST JOSEPH'S HOSPITAL, INC","555 ST JOSEPH'S BLVD","Elmira","NY","14902","CHEMUNG","0.865920","Not Available","Not Available","Not Available","0.873994","0 out of 10","0 out of 9","0 out of 10","0.901095","8 out of 10","7 out of 9","8 out of 10","0.417301","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330111","BERTRAND CHAFFEE HOSPITAL","224 EAST MAIN STREET","Springville","NY","14141","ERIE","0.866325","Not Available","Not Available","Not Available","0.888352","Not Available","Not Available","Not Available","0.878850","0 out of 10","0 out of 9","0 out of 10","0.468300","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330115","ONEIDA HEALTHCARE","321 GENESEE STREET","Oneida","NY","13421","MADISON","0.856207","Not Available","Not Available","Not Available","0.862061","0 out of 10","0 out of 9","0 out of 10","0.886669","2 out of 10","4 out of 9","4 out of 10","0.375218","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","0 out of 10","1.661","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330119","LENOX HILL HOSPITAL","100 EAST 77TH STREET","New York","NY","10021","NEW YORK","0.878172","10 out of 10","9 out of 9","10 out of 10","0.912345","10 out of 10","9 out of 9","10 out of 10","0.914803","10 out of 10","9 out of 9","10 out of 10","0.569354","3 out of 10","7 out of 9","7 out of 10","0.221","5 out of 10","6 out of 9","6 out of 10","2.058","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1.699","0 out of 10","0 out of 9","0 out of 10","0.892","0 out of 10","0 out of 9","0 out of 10"
"330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","Rochester","NY","14621","MONROE","0.876426","10 out of 10","9 out of 9","10 out of 10","0.893830","6 out of 10","5 out of 9","6 out of 10","0.902010","9 out of 10","9 out of 9","9 out of 10","0.648240","0 out of 10","4 out of 9","4 out of 10","0.278","4 out of 10","0 out of 9","4 out of 10","0.731","1 out of 10","0 out of 9","1 out of 10","1 out of 10","1.307","0 out of 10","0 out of 9","0 out of 10","1.613","0 out of 10","5 out of 9","5 out of 10"
"330126","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","Middletown","NY","10940","ORANGE","0.876900","10 out of 10","9 out of 9","10 out of 10","0.883743","2 out of 10","2 out of 9","2 out of 10","0.887147","2 out of 10","0 out of 9","2 out of 10","0.352174","10 out of 10","9 out of 9","10 out of 10","1.212","0 out of 10","0 out of 9","0 out of 10","3.661","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.928","0 out of 10","0 out of 9","0 out of 10","1.682","0 out of 10","0 out of 9","0 out of 10"
"330127","JACOBI MEDICAL CENTER","1400 PELHAM PARKWAY SOUTH","Bronx","NY","10461","BRONX","0.866964","10 out of 10","Not Available","10 out of 10","0.882900","1 out of 10","0 out of 9","1 out of 10","0.901420","8 out of 10","8 out of 9","8 out of 10","0.811092","0 out of 10","0 out of 9","0 out of 10","0.289","4 out of 10","1 out of 9","4 out of 10","1.130","0 out of 10","5 out of 9","5 out of 10","0 out of 10","1.964","0 out of 10","Not Available","0 out of 10","1.987","0 out of 10","Not Available","0 out of 10"
"330128","ELMHURST HOSPITAL CENTER","79-01 BROADWAY","Elmhurst","NY","11373","QUEENS","0.859705","8 out of 10","8 out of 9","8 out of 10","0.885785","3 out of 10","2 out of 9","3 out of 10","0.883105","1 out of 10","0 out of 9","1 out of 10","0.426066","10 out of 10","9 out of 9","10 out of 10","0.172","6 out of 10","8 out of 9","8 out of 10","1.079","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1.446","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330135","BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","Port Jervis","NY","12771","ORANGE","0.862182","9 out of 10","Not Available","9 out of 10","0.898150","8 out of 10","7 out of 9","8 out of 10","0.893113","5 out of 10","0 out of 9","5 out of 10","0.419172","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.804","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","Cooperstown","NY","13326","OTSEGO","0.867321","10 out of 10","9 out of 9","10 out of 10","0.871678","0 out of 10","0 out of 9","0 out of 10","0.887735","3 out of 10","5 out of 9","5 out of 10","0.637578","0 out of 10","0 out of 9","0 out of 10","0.868","0 out of 10","0 out of 9","0 out of 10","0.548","3 out of 10","5 out of 9","5 out of 10","1 out of 10","1.598","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"330140","ST JOSEPH'S HOSPITAL HEALTH CENTER","301 PROSPECT AVENUE","Syracuse","NY","13203","ONONDAGA","0.868299","10 out of 10","9 out of 9","10 out of 10","0.882496","1 out of 10","5 out of 9","5 out of 10","0.892511","5 out of 10","0 out of 9","5 out of 10","0.394392","10 out of 10","9 out of 9","10 out of 10","0.750","0 out of 10","0 out of 9","0 out of 10","1.564","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.465","0 out of 10","0 out of 9","0 out of 10","0.601","2 out of 10","Not Available","2 out of 10"
"330141","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","Patchogue","NY","11772","SUFFOLK","0.879862","10 out of 10","9 out of 9","10 out of 10","0.894776","7 out of 10","5 out of 9","7 out of 10","0.883474","1 out of 10","0 out of 9","1 out of 10","0.489910","7 out of 10","5 out of 9","7 out of 10","0.485","0 out of 10","0 out of 9","0 out of 10","1.606","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1.477","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","Bath","NY","14810","STEUBEN","0.863625","Not Available","Not Available","Not Available","0.873797","0 out of 10","Not Available","0 out of 10","0.891001","4 out of 10","5 out of 9","5 out of 10","0.452479","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","Hornell","NY","14843","STEUBEN","0.859627","Not Available","Not Available","Not Available","0.886411","3 out of 10","Not Available","3 out of 10","0.892386","5 out of 10","3 out of 9","5 out of 10","0.648369","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330153","ELLIS HOSPITAL","1101 NOTT STREET","Schenectady","NY","12308","SCHENECTADY","0.856682","6 out of 10","7 out of 9","7 out of 10","0.862414","0 out of 10","0 out of 9","0 out of 10","0.878333","0 out of 10","2 out of 9","2 out of 10","0.553027","4 out of 10","0 out of 9","4 out of 10","0.122","7 out of 10","8 out of 9","8 out of 10","0.664","2 out of 10","5 out of 9","5 out of 10","4 out of 10","0.520","2 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"330157","SAMARITAN MEDICAL CENTER","830 WASHINGTON STREET","Watertown","NY","13601","JEFFERSON","0.860344","8 out of 10","Not Available","8 out of 10","0.874699","0 out of 10","0 out of 9","0 out of 10","0.908274","10 out of 10","9 out of 9","10 out of 10","0.458916","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.586","3 out of 10","3 out of 9","3 out of 10","3 out of 10","2.160","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","Suffern","NY","10901","ROCKLAND","0.873831","10 out of 10","9 out of 9","10 out of 10","0.891040","5 out of 10","0 out of 9","5 out of 10","0.882604","0 out of 10","0 out of 9","0 out of 10","0.348247","10 out of 10","9 out of 9","10 out of 10","1.104","0 out of 10","0 out of 9","0 out of 10","1.984","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2.190","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330160","STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE","Staten Island","NY","10305","RICHMOND","0.865038","10 out of 10","9 out of 9","10 out of 10","0.891429","5 out of 10","1 out of 9","5 out of 10","0.889158","3 out of 10","6 out of 9","6 out of 10","0.841101","0 out of 10","0 out of 9","0 out of 10","0.414","1 out of 10","0 out of 9","1 out of 10","0.940","0 out of 10","3 out of 9","3 out of 10","2 out of 10","1.334","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"330162","NORTHERN WESTCHESTER HOSPITAL","400 EAST MAIN STREET","Mount Kisco","NY","10549","WESTCHESTER","0.870091","10 out of 10","Not Available","10 out of 10","0.886880","3 out of 10","0 out of 9","3 out of 10","0.897972","7 out of 10","0 out of 9","7 out of 10","0.575981","3 out of 10","0 out of 9","3 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.431","5 out of 10","8 out of 9","8 out of 10","0 out of 10","0.728","0 out of 10","0 out of 9","0 out of 10","2.139","0 out of 10","0 out of 9","0 out of 10"
"330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","Rochester","NY","14620","MONROE","0.857783","7 out of 10","Not Available","7 out of 10","0.882094","1 out of 10","4 out of 9","4 out of 10","0.878548","0 out of 10","4 out of 9","4 out of 10","0.430175","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.150","0 out of 10","2 out of 9","2 out of 10","1 out of 10","1.492","0 out of 10","0 out of 9","0 out of 10","1.120","0 out of 10","2 out of 9","2 out of 10"
"330167","WINTHROP-UNIVERSITY HOSPITAL","259 FIRST STREET","Mineola","NY","11501","NASSAU","0.865656","10 out of 10","9 out of 9","10 out of 10","0.882571","1 out of 10","0 out of 9","1 out of 10","0.911605","10 out of 10","9 out of 9","10 out of 10","0.404653","10 out of 10","9 out of 9","10 out of 10","0.230","5 out of 10","3 out of 9","5 out of 10","0.638","2 out of 10","3 out of 9","3 out of 10","3 out of 10","0.619","1 out of 10","0 out of 9","1 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"330175","CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE","Cortland","NY","13045","CORTLAND","0.862656","Not Available","Not Available","Not Available","0.900327","10 out of 10","9 out of 9","10 out of 10","0.914047","10 out of 10","9 out of 9","10 out of 10","0.323728","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330180","SAMARITAN HOSPITAL","2215 BURDETT AVENUE","Troy","NY","12180","RENSSELAER","0.860551","8 out of 10","Not Available","8 out of 10","0.878683","0 out of 10","0 out of 9","0 out of 10","0.886901","2 out of 10","0 out of 9","2 out of 10","0.477614","8 out of 10","6 out of 9","8 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.987","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.683","0 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","Glen Cove","NY","11542","NASSAU","0.868427","10 out of 10","9 out of 9","10 out of 10","0.881859","1 out of 10","3 out of 9","3 out of 10","0.891065","4 out of 10","0 out of 9","4 out of 10","0.566756","3 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","2.616","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","Roslyn","NY","11576","NASSAU","0.875076","10 out of 10","9 out of 9","10 out of 10","0.894096","7 out of 10","0 out of 9","7 out of 10","0.920165","10 out of 10","9 out of 9","10 out of 10","0.470856","8 out of 10","1 out of 9","8 out of 10","0.436","1 out of 10","0 out of 9","1 out of 10","0.836","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.431","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","New Rochelle","NY","10802","WESTCHESTER","0.872457","10 out of 10","9 out of 9","10 out of 10","0.885203","2 out of 10","6 out of 9","6 out of 10","0.912068","10 out of 10","9 out of 9","10 out of 10","0.531374","5 out of 10","6 out of 9","6 out of 10","0.581","0 out of 10","0 out of 9","0 out of 10","2.115","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2.600","0 out of 10","Not Available","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330185","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","Port Jefferson","NY","11777","SUFFOLK","0.878890","10 out of 10","9 out of 9","10 out of 10","0.915415","10 out of 10","9 out of 9","10 out of 10","0.901333","8 out of 10","0 out of 9","8 out of 10","0.444609","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.831","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1.713","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","Lewiston","NY","14092","NIAGARA","0.852848","4 out of 10","4 out of 9","4 out of 10","0.880936","0 out of 10","0 out of 9","0 out of 10","0.892236","5 out of 10","5 out of 9","5 out of 10","0.563611","3 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","1.931","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1.316","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"330191","GLENS FALLS HOSPITAL","100 PARK STREET","Glens Falls","NY","12801","WARREN","0.866159","10 out of 10","9 out of 9","10 out of 10","0.890187","5 out of 10","0 out of 9","5 out of 10","0.891420","4 out of 10","4 out of 9","4 out of 10","0.261239","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.138","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0.841","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"330193","FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","Flushing","NY","11355","QUEENS","0.852164","3 out of 10","7 out of 9","7 out of 10","0.893739","6 out of 10","7 out of 9","7 out of 10","0.896079","6 out of 10","7 out of 9","7 out of 10","0.521266","6 out of 10","6 out of 9","6 out of 10","1.031","0 out of 10","0 out of 9","0 out of 10","2.760","0 out of 10","0 out of 9","0 out of 10","4 out of 10","Not Available","Not Available","Not Available","Not Available","1.661","0 out of 10","4 out of 9","4 out of 10"
"330194","MAIMONIDES MEDICAL CENTER","4802 TENTH AVENUE","Brooklyn","NY","11219","KINGS","0.879214","10 out of 10","9 out of 9","10 out of 10","0.915198","10 out of 10","9 out of 9","10 out of 10","0.922860","10 out of 10","9 out of 9","10 out of 10","0.593504","2 out of 10","6 out of 9","6 out of 10","0.050","9 out of 10","4 out of 9","9 out of 10","0.711","2 out of 10","6 out of 9","6 out of 10","0 out of 10","0.992","0 out of 10","0 out of 9","0 out of 10","0.803","0 out of 10","0 out of 9","0 out of 10"
"330195","LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","New Hyde Park","NY","11040","QUEENS","0.870978","10 out of 10","9 out of 9","10 out of 10","0.895462","7 out of 10","0 out of 9","7 out of 10","0.906797","10 out of 10","9 out of 9","10 out of 10","0.510940","6 out of 10","0 out of 9","6 out of 10","0.271","4 out of 10","2 out of 9","4 out of 10","1.195","0 out of 10","5 out of 9","5 out of 10","0 out of 10","2.326","0 out of 10","0 out of 9","0 out of 10","2.578","0 out of 10","0 out of 9","0 out of 10"
"330196","CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","Brooklyn","NY","11235","KINGS","0.861690","9 out of 10","8 out of 9","9 out of 10","0.908159","10 out of 10","9 out of 9","10 out of 10","0.903991","9 out of 10","9 out of 9","9 out of 10","0.571605","3 out of 10","0 out of 9","3 out of 10","0.796","0 out of 10","0 out of 9","0 out of 10","2.177","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"330197","CANTON-POTSDAM HOSPITAL","50 LEROY STREET","Potsdam","NY","13676","ST. LAWRENCE","0.858929","7 out of 10","Not Available","7 out of 10","0.882391","1 out of 10","3 out of 9","3 out of 10","0.913721","10 out of 10","9 out of 9","10 out of 10","0.477666","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","2.191","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","Oceanside","NY","11572","NASSAU","0.826296","0 out of 10","0 out of 9","0 out of 10","0.872476","0 out of 10","0 out of 9","0 out of 10","0.875447","0 out of 10","5 out of 9","5 out of 10","0.601403","1 out of 10","0 out of 9","1 out of 10","0.130","7 out of 10","8 out of 9","8 out of 10","1.933","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.430","4 out of 10","6 out of 9","6 out of 10","0.935","0 out of 10","2 out of 9","2 out of 10"
"330199","METROPOLITAN HOSPITAL CENTER","1901 FIRST AVENUE","New York","NY","10029","NEW YORK","0.870132","10 out of 10","Not Available","10 out of 10","0.887842","Not Available","Not Available","Not Available","0.895384","Not Available","Not Available","Not Available","0.357564","10 out of 10","9 out of 9","10 out of 10","0.665","0 out of 10","0 out of 9","0 out of 10","0.194","7 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330201","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","Brooklyn","NY","11203","KINGS","0.865204","10 out of 10","Not Available","10 out of 10","0.901389","10 out of 10","9 out of 9","10 out of 10","0.885695","2 out of 10","0 out of 9","2 out of 10","0.524789","5 out of 10","0 out of 9","5 out of 10","1.054","0 out of 10","5 out of 9","5 out of 10","1.135","0 out of 10","6 out of 9","6 out of 10","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"330202","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","Brooklyn","NY","11203","KINGS","0.856593","Not Available","Not Available","Not Available","0.900663","10 out of 10","Not Available","10 out of 10","0.885075","2 out of 10","Not Available","2 out of 10","0.584965","2 out of 10","3 out of 9","3 out of 10","0.861","0 out of 10","0 out of 9","0 out of 10","1.875","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2.540","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330203","CROUSE HOSPITAL","736 IRVING AVENUE","Syracuse","NY","13210","ONONDAGA","0.860102","8 out of 10","6 out of 9","8 out of 10","0.896121","7 out of 10","0 out of 9","7 out of 10","0.896326","6 out of 10","7 out of 9","7 out of 10","0.687531","0 out of 10","5 out of 9","5 out of 10","0.676","0 out of 10","0 out of 9","0 out of 10","2.788","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1.035","0 out of 10","0 out of 9","0 out of 10","1.474","0 out of 10","0 out of 9","0 out of 10"
"330204","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","New York","NY","10016","NEW YORK","0.857754","7 out of 10","Not Available","7 out of 10","0.888607","4 out of 10","1 out of 9","4 out of 10","0.873302","0 out of 10","0 out of 9","0 out of 10","0.484069","8 out of 10","7 out of 9","8 out of 10","0.333","3 out of 10","5 out of 9","5 out of 10","0.710","2 out of 10","1 out of 9","2 out of 10","0 out of 10","1.142","0 out of 10","0 out of 9","0 out of 10","0.926","0 out of 10","Not Available","0 out of 10"
"330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","Warwick","NY","10990","ORANGE","0.868834","Not Available","Not Available","Not Available","0.882247","1 out of 10","0 out of 9","1 out of 10","0.885497","2 out of 10","0 out of 9","2 out of 10","0.381586","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330208","ST JOHN'S RIVERSIDE HOSPITAL","976 NORTH BROADWAY","Yonkers","NY","10701","WESTCHESTER","0.881183","10 out of 10","Not Available","10 out of 10","0.896972","8 out of 10","2 out of 9","8 out of 10","0.891492","4 out of 10","6 out of 9","6 out of 10","0.339603","10 out of 10","9 out of 9","10 out of 10","1.083","0 out of 10","0 out of 9","0 out of 10","1.987","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.838","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"330211","CLAXTON-HEPBURN MEDICAL CENTER","214 KING STREET","Ogdensburg","NY","13669","ST. LAWRENCE","0.859536","8 out of 10","Not Available","8 out of 10","0.892957","6 out of 10","5 out of 9","6 out of 10","0.904672","10 out of 10","9 out of 9","10 out of 10","0.417176","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
