Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,Preventive Condition/Procedure Score
"100289","CLEVELAND CLINIC HOSPITAL","3100 WESTON RD","Weston","FL","33331","BROWARD","0.94551","5 out of 10","0 out of 9","5 out of 10","5"
"190201","LAKE AREA MEDICAL CENTER","4200 NELSON ROAD","Lake Charles","LA","70605","CALCASIEU","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"440091","MEMORIAL HEALTHCARE SYSTEM, INC","2525 DESALES AVE","Chattanooga","TN","37404","HAMILTON","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"100126","PALMS OF PASADENA HOSPITAL","1501 PASADENA AVE S","Saint Petersburg","FL","33707","PINELLAS","0.97755","8 out of 10","5 out of 9","8 out of 10","8"
"140289","ANDERSON HOSPITAL","6800 STATE ROUTE 162","Maryville","IL","62062","MADISON","0.97904","8 out of 10","8 out of 9","8 out of 10","8"
"450347","HUNTSVILLE MEMORIAL HOSPITAL","110 MEMORIAL HOSPITAL DRIVE","Huntsville","TX","77340","WALKER","0.96190","7 out of 10","0 out of 9","7 out of 10","7"
"240043","MAYO CLINIC HEALTH SYSTEM - ALBERT LEA","404 WEST FOUNTAIN STREET","Albert Lea","MN","56007","FREEBORN","0.94323","5 out of 10","7 out of 9","7 out of 10","7"
"670073","METHODIST HOSPITAL FOR SURGERY","17101 DALLAS PARKWAY","Addison","TX","75001","DALLAS","0.99392","10 out of 10","9 out of 9","10 out of 10","10"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","Fayetteville","NC","28302","CUMBERLAND","0.95265","6 out of 10","0 out of 9","6 out of 10","6"
"340159","PERSON MEMORIAL HOSPITAL","615 RIDGE RD","Roxboro","NC","27573","PERSON","0.96958","7 out of 10","0 out of 9","7 out of 10","7"
"420051","MCLEOD REGIONAL MEDICAL CENTER-PEE DEE","555 E CHEVES ST BOX 8700","Florence","SC","29506","FLORENCE","0.99632","10 out of 10","9 out of 9","10 out of 10","10"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","Winston-Salem","NC","27103","FORSYTH","0.99901","10 out of 10","9 out of 9","10 out of 10","10"
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","Richmond","VA","23298","RICHMOND CITY","0.98799","9 out of 10","9 out of 9","9 out of 10","9"
"360032","GRAND LAKE HEALTH SYSTEM","200 SAINT CLAIR STREET","Saint Marys","OH","45885","AUGLAIZE","0.95181","5 out of 10","6 out of 9","6 out of 10","6"
"140058","PASSAVANT AREA HOSPITAL","1600 W WALNUT ST","Jacksonville","IL","62650","MORGAN","0.95098","5 out of 10","7 out of 9","7 out of 10","7"
"100212","OCALA REGIONAL MEDICAL CENTER","1431 SW 1ST AVE","Ocala","FL","34478","MARION","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"050145","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R HOLMAN HIGHWAY","Monterey","CA","93940","MONTEREY","0.95918","6 out of 10","8 out of 9","8 out of 10","8"
"100315","VIERA HOSPITAL","8745 N WICKHAM RD","Melbourne","FL","32940","BREVARD","0.98744","9 out of 10","9 out of 9","9 out of 10","9"
"140166","ST MARYS HOSPITAL","1800 E LAKE SHORE DR","Decatur","IL","62521","MACON","0.96303","7 out of 10","7 out of 9","7 out of 10","7"
"050149","CALIFORNIA HOSPITAL MEDICAL CENTER LA","1401 SOUTH GRAND AVENUE","Los Angeles","CA","90015","LOS ANGELES","0.99333","10 out of 10","9 out of 9","10 out of 10","10"
"050557","MEMORIAL MEDICAL CENTER","1700 COFFEE RD","Modesto","CA","95355","STANISLAUS","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"510013","REYNOLDS MEMORIAL HOSPITAL","800 WHEELING AVE","Glen Dale","WV","26038","MARSHALL","0.95760","6 out of 10","7 out of 9","7 out of 10","7"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","Mesa","AZ","85206","MARICOPA","0.95979","6 out of 10","0 out of 9","6 out of 10","6"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","Roseville","CA","95747","SAN FRANCISCO","0.73975","0 out of 10","3 out of 9","3 out of 10","3"
"050224","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","ONE HOAG DRIVE","Newport Beach","CA","92663","ORANGE","0.93047","3 out of 10","6 out of 9","6 out of 10","6"
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","Safety Harbor","FL","34695","PINELLAS","0.98859","9 out of 10","9 out of 9","9 out of 10","9"
"050290","PROVIDENCE SAINT JOHN'S HEALTH CENTER","2121 SANTA MONICA BLVD","Santa Monica","CA","90404","LOS ANGELES","0.68966","0 out of 10","0 out of 9","0 out of 10","0"
"300012","ELLIOT HOSPITAL","1 ELLIOT WAY","Manchester","NH","03103","HILLSBOROUGH","0.95354","6 out of 10","0 out of 9","6 out of 10","6"
"180011","SAINT JOSEPH LONDON","1001 SAINT JOSEPH LANE","London","KY","40741","LAUREL","0.94154","4 out of 10","2 out of 9","4 out of 10","4"
"500019","PROVIDENCE CENTRALIA HOSPITAL","914 S SCHEUBER ROAD","Centralia","WA","98531","LEWIS","0.87324","0 out of 10","3 out of 9","3 out of 10","3"
"450079","BAYLOR MEDICAL CENTER AT IRVING","1901 N MACARTHUR BLVD","Irving","TX","75061","DALLAS","0.99801","10 out of 10","9 out of 9","10 out of 10","10"
"050765","KAISER FOUNDATION HOSPITAL-MORENO VALLEY","27300 IRIS AVENUE","Moreno Valley","CA","92555","RIVERSIDE","0.98711","9 out of 10","8 out of 9","9 out of 10","9"
"370065","CRAIG GENERAL HOSPITAL","735 NORTH FOREMAN","Vinita","OK","74301","CRAIG","0.85409","0 out of 10","2 out of 9","2 out of 10","2"
"500021","ST CLARE HOSPITAL","11315 BRIDGEPORT WAY S W","Lakewood","WA","98499","PIERCE","0.97436","8 out of 10","7 out of 9","8 out of 10","8"
"110083","PIEDMONT HOSPITAL","1968 PEACHTREE RD NW","Atlanta","GA","30309","FULTON","0.74042","0 out of 10","1 out of 9","1 out of 10","1"
"340132","MARIA PARHAM MEDICAL CENTER","PO BOX 59","Henderson","NC","27536","VANCE","0.99336","10 out of 10","9 out of 9","10 out of 10","10"
"290032","NORTHERN NEVADA MEDICAL CENTER","2375 PRATER WAY","Sparks","NV","89434","WASHOE","0.99361","10 out of 10","9 out of 9","10 out of 10","10"
"330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","Westbury","NY","11590","NASSAU","0.92679","3 out of 10","2 out of 9","3 out of 10","3"
"110069","HOUSTON MEDICAL CENTER","1601 WATSON BOULEVARD","Warner Robins","GA","31093","HOUSTON","0.88931","0 out of 10","3 out of 9","3 out of 10","3"
"260191","BARNES-JEWISH ST PETERS HOSPITAL","10 HOSPITAL DR","Saint Peters","MO","63376","ST. CHARLES","0.94130","4 out of 10","2 out of 9","4 out of 10","4"
"050039","ENLOE MEDICAL CENTER","1531 ESPLANADE","Chico","CA","95926","BUTTE","0.95455","6 out of 10","5 out of 9","6 out of 10","6"
"520107","HOLY FAMILY MEMORIAL","2300 WESTERN AVE","Manitowoc","WI","54221","MANITOWOC","0.94161","4 out of 10","5 out of 9","5 out of 10","5"
"090008","UNITED MEDICAL CENTER","1310 SOUTHERN AVENUE  SE","Washington","DC","20032","DISTRICT OF COLUMBIA","0.71654","0 out of 10","4 out of 9","4 out of 10","4"
"500151","ST ANTHONY HOSPITAL","11567 CANTERWOOD BOULEVARD NW","Gig Harbor","WA","98332","PIERCE","0.97769","8 out of 10","7 out of 9","8 out of 10","8"
"450124","UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","601 E 15TH STREET","Austin","TX","78701","TRAVIS","0.88095","0 out of 10","4 out of 9","4 out of 10","4"
"460006","LDS HOSPITAL","8TH AVENUE AND C STREET","Salt Lake City","UT","84143","SALT LAKE","0.97447","8 out of 10","7 out of 9","8 out of 10","8"
"360084","AULTMAN HOSPITAL","2600 SIXTH STREET SW","Canton","OH","44710","STARK","0.98370","9 out of 10","9 out of 9","9 out of 10","9"
"050194","WATSONVILLE COMMUNITY HOSPITAL","75 NIELSON STREET","Watsonville","CA","95076","SANTA CRUZ","0.97835","8 out of 10","3 out of 9","8 out of 10","8"
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","Las Vegas","NV","89144","CLARK","0.93595","4 out of 10","7 out of 9","7 out of 10","7"
"520116","WATERTOWN REGIONAL MEDICAL CENTER","125 HOSPITAL DRIVE","Watertown","WI","53098","DODGE","0.96484","7 out of 10","8 out of 9","8 out of 10","8"
"270049","ST VINCENT HEALTHCARE","1233 N 30TH ST","Billings","MT","59107","YELLOWSTONE","0.90353","0 out of 10","4 out of 9","4 out of 10","4"
"670060","BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE","231 SOUTH COLLINS ROAD","Sunnyvale","TX","75182","DALLAS","0.99775","10 out of 10","9 out of 9","10 out of 10","10"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","Saint Louis","MO","63141","ST. LOUIS","0.92500","3 out of 10","5 out of 9","5 out of 10","5"
"100121","BARTOW REGIONAL MEDICAL CENTER","2200 OSPREY BLVD","Bartow","FL","33830","POLK","0.96711","7 out of 10","4 out of 9","7 out of 10","7"
"100140","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","Fernandina Beach","FL","32034","NASSAU","0.95930","6 out of 10","7 out of 9","7 out of 10","7"
"170137","LAWRENCE MEMORIAL HOSPITAL","325 MAINE STREET","Lawrence","KS","66044","DOUGLAS","0.98828","9 out of 10","9 out of 9","9 out of 10","9"
"050308","EL CAMINO HOSPITAL","2500 GRANT ROAD","Mountain View","CA","94040","SANTA CLARA","0.97333","8 out of 10","0 out of 9","8 out of 10","8"
"170190","MANHATTAN SURGICAL HOSPITAL LLC","1829 COLLEGE AVENUE","Manhattan","KS","66502","RILEY","0.96859","7 out of 10","9 out of 9","9 out of 10","9"
"170058","MERCY HOSPITAL-FORT SCOTT","401 WOODLAND HILLS BLVD","Fort Scott","KS","66701","BOURBON","0.98326","9 out of 10","9 out of 9","9 out of 10","9"
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","Torrance","CA","90509","LOS ANGELES","0.98413","9 out of 10","9 out of 9","9 out of 10","9"
"330234","WESTCHESTER MEDICAL CENTER","100 WOODS RD","Valhalla","NY","10595","WESTCHESTER","0.98776","9 out of 10","9 out of 9","9 out of 10","9"
"330232","ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","Troy","NY","12180","RENSSELAER","0.95268","6 out of 10","2 out of 9","6 out of 10","6"
"330203","CROUSE HOSPITAL","736 IRVING AVENUE","Syracuse","NY","13210","ONONDAGA","0.91176","1 out of 10","6 out of 9","6 out of 10","6"
"450688","DALLAS REGIONAL MEDICAL CENTER","1011 NORTH GALLOWAY AVENUE","Mesquite","TX","75150","DALLAS","0.98505","9 out of 10","9 out of 9","9 out of 10","9"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","Clinton","NC","28328","SAMPSON","0.87255","0 out of 10","0 out of 9","0 out of 10","0"
"330126","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","Middletown","NY","10940","ORANGE","0.91815","2 out of 10","6 out of 9","6 out of 10","6"
"500001","NORTHWEST HOSPITAL","1550 NORTH 115TH STREET","Seattle","WA","98133","KING","0.98864","9 out of 10","9 out of 9","9 out of 10","9"
"360013","WILSON MEMORIAL HOSPITAL","915 WEST MICHIGAN STREET","Sidney","OH","45365","SHELBY","0.91016","1 out of 10","1 out of 9","1 out of 10","1"
"360076","ATRIUM MEDICAL CENTER","ONE MEDICAL CENTER DRIVE","Franklin","OH","45005","WARREN","0.98780","9 out of 10","6 out of 9","9 out of 10","9"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","Massillon","OH","44646","STARK","0.94348","5 out of 10","0 out of 9","5 out of 10","5"
"360072","FAIRFIELD MEDICAL CENTER","401 NORTH EWING STREET","Lancaster","OH","43130","FAIRFIELD","0.95833","6 out of 10","6 out of 9","6 out of 10","6"
"360211","TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST","380 SUMMIT AVENUE","Steubenville","OH","43952","JEFFERSON","0.94812","5 out of 10","0 out of 9","5 out of 10","5"
"090001","GEORGE WASHINGTON UNIV HOSPITAL","900 23RD ST NW","Washington","DC","20037","DISTRICT OF COLUMBIA","0.86567","0 out of 10","6 out of 9","6 out of 10","6"
"230156","ST JOSEPH MERCY HOSPITAL","5301 E HURON RIVER DR","Ann Arbor","MI","48106","WASHTENAW","0.97753","8 out of 10","8 out of 9","8 out of 10","8"
"360236","MERCY HOSPITAL CLERMONT","3000 HOSPITAL DRIVE","Batavia","OH","45103","CLERMONT","0.98540","9 out of 10","9 out of 9","9 out of 10","9"
"440182","MCKENZIE REGIONAL HOSPITAL","161 HOSPITAL DRIVE","Mckenzie","TN","38201","CARROLL","0.98354","9 out of 10","0 out of 9","9 out of 10","9"
"330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","Bay Shore","NY","11706","SUFFOLK","0.88492","0 out of 10","3 out of 9","3 out of 10","3"
"190151","RICHARDSON MEDICAL CENTER","254 HIGHWAY 3048","Rayville","LA","71269","RICHLAND","0.72251","0 out of 10","4 out of 9","4 out of 10","4"
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","Newark","NY","14513","WAYNE","0.97680","8 out of 10","9 out of 9","9 out of 10","9"
"360125","ASHTABULA COUNTY MEDICAL CENTER","2420 LAKE AVENUE","Ashtabula","OH","44004","ASHTABULA","0.99020","10 out of 10","9 out of 9","10 out of 10","10"
"050038","SANTA CLARA VALLEY MEDICAL CENTER","751 SOUTH BASCOM AVENUE","San Jose","CA","95128","SANTA CLARA","0.75304","0 out of 10","0 out of 9","0 out of 10","0"
"030068","MT. GRAHAM REGIONAL MEDICAL CENTER","1600 SOUTH 20TH AVENUE","Safford","AZ","85546","GRAHAM","0.90551","0 out of 10","1 out of 9","1 out of 10","1"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","Durham","NC","27710","DURHAM","0.78871","0 out of 10","1 out of 9","1 out of 10","1"
"320011","PRESBYTERIAN ESPANOLA HOSPITAL","1010 SPRUCE STREET","Espanola","NM","87532","RIO ARRIBA","0.90226","0 out of 10","2 out of 9","2 out of 10","2"
"450219","BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO","200 W OLLIE","Llano","TX","78643","LLANO","0.96474","7 out of 10","8 out of 9","8 out of 10","8"
"510050","WHEELING HOSPITAL","1 MEDICAL PARK","Wheeling","WV","26003","OHIO","0.99361","10 out of 10","9 out of 9","10 out of 10","10"
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST","Carmel","IN","46032","HAMILTON","0.92162","2 out of 10","2 out of 9","2 out of 10","2"
"230058","MUNSON HEALTHCARE GRAYLING HOSPITAL","1100 E MICHIGAN AVE","Grayling","MI","49738","CRAWFORD","0.98347","9 out of 10","9 out of 9","9 out of 10","9"
"520008","WAUKESHA MEMORIAL HOSPITAL","725 AMERICAN AVE","Waukesha","WI","53188","WAUKESHA","0.96367","7 out of 10","8 out of 9","8 out of 10","8"
"330250","CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR","75 BEEKMAN STREET","Plattsburgh","NY","12901","CLINTON","0.98018","9 out of 10","9 out of 9","9 out of 10","9"
"450015","PARKLAND HEALTH AND HOSPITAL SYSTEM","5200 HARRY HINES BLVD","Dallas","TX","75235","DALLAS","0.84787","0 out of 10","1 out of 9","1 out of 10","1"
"370094","ALLIANCEHEALTH MIDWEST","2825 PARKLAWN DRIVE","Midwest City","OK","73110","OKLAHOMA","0.99231","10 out of 10","9 out of 9","10 out of 10","10"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","Rochester","NH","03867","STRAFFORD","0.95000","5 out of 10","0 out of 9","5 out of 10","5"
"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","Hackettstown","NJ","07840","WARREN","0.92208","2 out of 10","2 out of 9","2 out of 10","2"
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE","Lodi","CA","95240","SAN JOAQUIN","0.96680","7 out of 10","6 out of 9","7 out of 10","7"
"140135","DECATUR MEMORIAL HOSPITAL","2300 NORTH EDWARD STREET","Decatur","IL","62526","MACON","0.93110","3 out of 10","7 out of 9","7 out of 10","7"
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","Kankakee","IL","60901","KANKAKEE","0.99278","10 out of 10","9 out of 9","10 out of 10","10"
"050245","ARROWHEAD REGIONAL MEDICAL CENTER","400 NORTH PEPPER AVENUE","Colton","CA","92324","SAN BERNARDINO","0.96875","7 out of 10","7 out of 9","7 out of 10","7"
"180103","BAPTIST HEALTH LEXINGTON","1740 NICHOLASVILLE ROAD","Lexington","KY","40503","FAYETTE","0.97847","8 out of 10","8 out of 9","8 out of 10","8"
"500007","ISLAND HOSPITAL","1211  24TH STREET","Anacortes","WA","98221","SKAGIT","0.92808","3 out of 10","0 out of 9","3 out of 10","3"
"450119","SOUTH TEXAS HEALTH SYSTEM","1102 W TRENTON ROAD","Edinburg","TX","78539","HIDALGO","0.98148","9 out of 10","7 out of 9","9 out of 10","9"
"110018","PIEDMONT NEWTON HOSPITAL","5126 HOSPITAL DRIVE NE","Covington","GA","30014","NEWTON","0.93450","4 out of 10","7 out of 9","7 out of 10","7"
"180046","BOURBON COMMUNITY HOSPITAL","9 LINVILLE DRIVE","Paris","KY","40361","BOURBON","0.99197","10 out of 10","9 out of 9","10 out of 10","10"
"520041","DIVINE SAVIOR HEALTHCARE","2817 NEW PINERY ROAD","Portage","WI","53901","COLUMBIA","0.92296","2 out of 10","6 out of 9","6 out of 10","6"
"490141","SPOTSYLVANIA REGIONAL MEDICAL CENTER","4600 SPOTSYLVANIA PARKWAY","Fredericksburg","VA","22408","SPOTSYLVANIA","0.99143","10 out of 10","9 out of 9","10 out of 10","10"
"140120","PEKIN MEMORIAL HOSPITAL","600 SOUTH 13TH STREET","Pekin","IL","61554","TAZEWELL","0.97643","8 out of 10","8 out of 9","8 out of 10","8"
"190146","EAST JEFFERSON GENERAL HOSPITAL","4200 HOUMA BLVD","Metairie","LA","70011","JEFFERSON","0.93924","4 out of 10","8 out of 9","8 out of 10","8"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","Anchorage","AK","99508","ANCHORAGE","0.98535","9 out of 10","9 out of 9","9 out of 10","9"
"240213","HEALTHEAST WOODWINDS HOSPITAL","1925 WOODWINDS DRIVE","Woodbury","MN","55125","WASHINGTON","0.90329","0 out of 10","3 out of 9","3 out of 10","3"
"260142","FITZGIBBON HOSPITAL","2305 S 65 HIGHWAY","Marshall","MO","65340","SALINE","0.95965","6 out of 10","7 out of 9","7 out of 10","7"
"050291","SUTTER SANTA ROSA REGIONAL HOSPITAL","30 MARK WEST SPRINGS ROAD","Santa Rosa","CA","95403","SONOMA","0.95923","6 out of 10","8 out of 9","8 out of 10","8"
"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","Margate","FL","33063","BROWARD","0.99628","10 out of 10","9 out of 9","10 out of 10","10"
"370023","DUNCAN REGIONAL HOSPITAL, INC","1407 WHISENANT DRIVE","Duncan","OK","73533","STEPHENS","0.98795","9 out of 10","9 out of 9","9 out of 10","9"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","Rutherfordton","NC","28139","RUTHERFORD","0.93362","3 out of 10","1 out of 9","3 out of 10","3"
"450808","NORTHWEST HILLS SURGICAL HOSPITAL","6818 AUSTIN CTR BLVD SUITE 100","Austin","TX","78731","TRAVIS","0.72917","0 out of 10","6 out of 9","6 out of 10","6"
"110191","PIEDMONT HENRY HOSPITAL","1133 EAGLE'S LANDING PARKWAY","Stockbridge","GA","30281","HENRY","0.84972","0 out of 10","0 out of 9","0 out of 10","0"
"080007","BEEBE MEDICAL CENTER","424 SAVANNAH RD","Lewes","DE","19958","SUSSEX","0.91209","1 out of 10","0 out of 9","1 out of 10","1"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","Kenansville","NC","28349","DUPLIN","0.95070","5 out of 10","8 out of 9","8 out of 10","8"
"100052","WINTER HAVEN HOSPITAL","200 AVE F NE","Winter Haven","FL","33881","POLK","0.85991","0 out of 10","4 out of 9","4 out of 10","4"
"220060","BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","275 SANDWICH STREET","Plymouth","MA","02360","PLYMOUTH","0.96024","6 out of 10","4 out of 9","6 out of 10","6"
"110089","COFFEE REGIONAL MEDICAL CENTER","1101 OCILLA ROAD","Douglas","GA","31533","COFFEE","0.97412","8 out of 10","6 out of 9","8 out of 10","8"
"310006","ST MARY'S GENERAL HOSPITAL","350 BOULEVARD","Passaic","NJ","07055","PASSAIC","0.99089","10 out of 10","9 out of 9","10 out of 10","10"
"440057","CLAIBORNE MEDICAL CENTER","1850 OLD KNOXVILLE HIGHWAY","Tazewell","TN","37879","CLAIBORNE","0.93750","4 out of 10","7 out of 9","7 out of 10","7"
"050506","SIERRA VISTA REGIONAL MEDICAL CENTER","1010 MURRAY ST","San Luis Obispo","CA","93405","SAN LUIS OBISPO","0.92073","2 out of 10","3 out of 9","3 out of 10","3"
"260162","BARNES-JEWISH WEST COUNTY HOSPITAL","12634 OLIVE BOULEVARD","Creve Couer","MO","63141","ST. LOUIS","0.99675","10 out of 10","9 out of 9","10 out of 10","10"
"100088","BAPTIST MEDICAL CENTER JACKSONVILLE","800 PRUDENTIAL DR","Jacksonville","FL","32207","DUVAL","0.94858","5 out of 10","6 out of 9","6 out of 10","6"
"370054","GRADY MEMORIAL HOSPITAL","2220 IOWA STREET","Chickasha","OK","73018","GRADY","0.84884","0 out of 10","0 out of 9","0 out of 10","0"
"390016","JAMESON MEMORIAL HOSPITAL","1211 WILMINGTON AVENUE","New Castle","PA","16105","LAWRENCE","0.86756","0 out of 10","0 out of 9","0 out of 10","0"
"500077","PROVIDENCE HOLY FAMILY HOSPITAL","5633 NORTH LIDGERWOOD","Spokane","WA","99208","SPOKANE","0.85630","0 out of 10","0 out of 9","0 out of 10","0"
"420023","ST FRANCIS-DOWNTOWN","ONE ST FRANCIS DR","Greenville","SC","29601","GREENVILLE","0.97325","8 out of 10","8 out of 9","8 out of 10","8"
"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","Las Cruces","NM","88011","DONA ANA","0.97609","8 out of 10","6 out of 9","8 out of 10","8"
"110086","WASHINGTON COUNTY REGIONAL MEDICAL CENTER","610 SPARTA ROAD","Sandersville","GA","31082","WASHINGTON","0.62791","0 out of 10","0 out of 9","0 out of 10","0"
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","Louisville","CO","80027","BOULDER","0.98721","9 out of 10","9 out of 9","9 out of 10","9"
"520098","UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY","600 HIGHLAND AVENUE","Madison","WI","53792","DANE","0.98123","9 out of 10","5 out of 9","9 out of 10","9"
"370078","OKLAHOMA STATE UNIVERSITY MEDICAL CENTER","744 WEST 9TH STREET","Tulsa","OK","74127","OSAGE","0.89428","0 out of 10","0 out of 9","0 out of 10","0"
"250042","NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER","1970 HOSPITAL DRIVE","Clarksdale","MS","38614","COAHOMA","0.99077","10 out of 10","9 out of 9","10 out of 10","10"
"230097","MUNSON MEDICAL CENTER","1105 SIXTH STREET","Traverse City","MI","49684","GRAND TRAVERSE","0.97487","8 out of 10","3 out of 9","8 out of 10","8"
"670049","NORTH CENTRAL SURGICAL CENTER LLP","9301 NORTH CENTRAL EXPRESSWAY SUITE 100","Dallas","TX","75231","DALLAS","0.94637","5 out of 10","8 out of 9","8 out of 10","8"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.94118","4 out of 10","0 out of 9","4 out of 10","4"
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","Brooklyn","NY","11201","KINGS","0.82172","0 out of 10","0 out of 9","0 out of 10","0"
"150065","SCHNECK MEDICAL CENTER","411 W TIPTON ST","Seymour","IN","47274","JACKSON","0.99691","10 out of 10","9 out of 9","10 out of 10","10"
"110044","PHOEBE SUMTER MEDICAL CENTER","126 HIGHWAY 280 W","Americus","GA","31719","SUMTER","0.93380","4 out of 10","7 out of 9","7 out of 10","7"
"280128","CHI HEALTH NEBRASKA HEART","7500 SOUTH 91ST ST","Lincoln","NE","68526","LANCASTER","0.93498","4 out of 10","0 out of 9","4 out of 10","4"
"190278","SPECIALISTS HOSPITAL SHREVEPORT","1500 LINE AVENUE","Shreveport","LA","71101","CADDO","0.50161","0 out of 10","4 out of 9","4 out of 10","4"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","Chicago","IL","60622","COOK","0.71048","0 out of 10","4 out of 9","4 out of 10","4"
"230077","ST MARY'S OF MICHIGAN MEDICAL CENTER","800 S WASHINGTON AVENUE","Saginaw","MI","48601","SAGINAW","0.84768","0 out of 10","0 out of 9","0 out of 10","0"
"330238","NICHOLAS H NOYES MEMORIAL HOSPITAL","111  CLARA BARTON STREET","Dansville","NY","14437","LIVINGSTON","0.92213","2 out of 10","1 out of 9","2 out of 10","2"
"050138","KAISER FOUNDATION HOSPITAL - LOS ANGELES","4867 SUNSET BLVD","Los Angeles","CA","90027","LOS ANGELES","0.94569","5 out of 10","8 out of 9","8 out of 10","8"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.98569","9 out of 10","8 out of 9","9 out of 10","9"
"050549","LOS ROBLES HOSPITAL & MEDICAL CENTER","215 W JANSS RD","Thousand Oaks","CA","91360","VENTURA","0.99538","10 out of 10","9 out of 9","10 out of 10","10"
"460051","JORDAN VALLEY MEDICAL CENTER","3580 WEST 9000 SOUTH","West Jordan","UT","84088","SALT LAKE","0.98276","9 out of 10","7 out of 9","9 out of 10","9"
"150168","THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","7952 W JEFFERSON BLVD","Ft Wayne","IN","46804","ALLEN","0.98525","9 out of 10","0 out of 9","9 out of 10","9"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","Pinehurst","NC","28374","MOORE","0.96140","7 out of 10","6 out of 9","7 out of 10","7"
"180066","LOGAN MEMORIAL HOSPITAL","1625 NASHVILLE STREET","Russellville","KY","42276","LOGAN","0.98034","9 out of 10","2 out of 9","9 out of 10","9"
"240014","NORTHFIELD HOSPITAL","2000 NORTH AVENUE","Northfield","MN","55057","DAKOTA","0.93227","3 out of 10","7 out of 9","7 out of 10","7"
"260048","TRUMAN MEDICAL CENTER HOSPITAL HILL","2301 HOLMES STREET","Kansas City","MO","64108","JACKSON","0.92623","3 out of 10","4 out of 9","4 out of 10","4"
